Run	Library	Strain
BGI1	RET1	AF16
BGI1	RET1	CB4852
BGI1	RET1	CB4856_CGC
BGI1	RET1	CB4857_CGC
BGI1	RET1	CX11315
BGI1	RET1	DL238
BGI1	RET1	ED3049
BGI1	RET1	HK104
BGI1	RET1	JU1580
BGI1	RET1	JU258
BGI1	RET1	JU360
BGI1	RET1	JU778
BGI1	RET1	MY23
BGI1	RET1	N2_CGC
BGI1	RET1	NIC232
BGI1	RET1	QG557
BGI1	RET1	QX1430
BGI1	RET1	WN2021
BGI1	RET2	AB1
BGI1	RET2	AB4
BGI1	RET2	CX11276
BGI1	RET2	CX11285
BGI1	RET2	DL226
BGI1	RET2	ED3017
BGI1	RET2	ED3046
BGI1	RET2	EG4725
BGI1	RET2	JT11398
BGI1	RET2	JU1200
BGI1	RET2	JU346
BGI1	RET2	JU363
BGI1	RET2	JU775
BGI1	RET2	JU782
BGI1	RET2	MY1
BGI1	RET2	MY16
BGI1	RET2	NIC196
BGI1	RET2	NIC2
BGI1	RET2	PB306
BGI1	RET2	QG556
BGI1	RET2	QX1791
BGI1	RET2	QX1792
BGI1	RET2	QX1793
BGI1	RET2	QX1794
BGI1	RET3	CB4851_CGC
BGI1	RET3	CB4853_UK
BGI1	RET3	CB4858_UK
BGI1	RET3	CX11254
BGI1	RET3	CX11314
BGI1	RET3	ED3011
BGI1	RET3	EG4347
BGI1	RET3	JU1088
BGI1	RET3	JU1246
BGI1	RET3	JU1491
BGI1	RET3	JU1586
BGI1	RET3	JU2007
BGI1	RET3	JU315
BGI1	RET3	JU440
BGI1	RET3	JU830
BGI1	RET3	LKC34
BGI1	RET3	MY10
BGI1	RET3	NIC1
BGI1	RET3	NIC197
BGI1	RET3	NIC207
BGI1	RET3	NIC3
BGI1	RET3	QX1211
BGI1	RET3	QX1215
BGI1	RET3	QX2268
BGI1	RET4	CB4852
BGI1	RET4	CB4855_UK
BGI1	RET4	CB4858_CGC
BGI1	RET4	CX11292
BGI1	RET4	ED3048
BGI1	RET4	JU1172
BGI1	RET4	JU1242
BGI1	RET4	JU1516
BGI1	RET4	JU310
