Run	Library	Strain
BGI1	RET4	JU394
BGI1	RET4	JU642
BGI1	RET4	QX1233
BGI1	RET4	QX2267
BGI1	RET4	WN2014
BGI1	RET5	CB4851_UK
BGI1	RET5	CX11264
BGI1	RET5	CX11307
BGI1	RET5	ED3005
BGI1	RET5	EG4724
BGI1	RET5	JU1213
BGI1	RET5	JU1409
BGI1	RET5	JU1568
BGI1	RET5	JU311
BGI1	RET5	JU751
BGI1	RET5	NIC166
BGI1	RET5	NIC195
BGI1	RET5	NIC237
BGI1	RET5	QX1213
BGI1	RET5	RC301
BGI1	RET5	WN2002
BGI1	RET4	NIC4
BGI1	RET4	NIC198
BGI1	RET4	NIC231
BGI1	RET4	QG557
BGI1	RET4	DL200
BGI1	RET4	JU1896
BGI1	RET4	LSJ1
BGI1	RET4	ED3073
BGI1	RET4	JU1400
BGI1	RET4	QX1212
BGI1	RET5	JU397
BGI1	RET5	QX2265
BGI1	RET5	ED3052
BGI1	RET5	WN2018
BGI1	RET5	KR314
BGI1	RET5	WN2011
BGI1	RET5	QG536
BGI1	RET5	CB4855_CGC
BGI1	RET6	NIC199
BGI1	RET6	NIC236
BGI1	RET6	JU1212
BGI1	RET6	JU1395
BGI1	RET6	JU1440
BGI1	RET6	JU792
BGI1	RET6	ED3012
BGI1	RET6	CB4853_CGC
BGI1	RET6	CX11262
BGI1	RET6	PX179
BGI1	RET6	QX1214
BGI1	RET6	EG4349
BGI1	RET6	WN2001
BGI1	RET6	GXW1
BGI1	RET6	JU406
BGI1	RET6	QX2266
BGI1	RET6	PB303
BGI1	RET6	JU2001
BGI1	RET6	QG538
BGI1	RET6	N2_HRH
BGI1	RET6	JU1581
BGI1	RET6	JU393
BGI1	RET6	CB4857_UK
BGI1	RET6	WN2017
BGI1	RET7	NIC200
BGI1	RET7	QG558
BGI1	RET7	CX11271
BGI1	RET7	EG4946
BGI1	RET7	JU847
BGI1	RET7	CB4854
BGI1	RET7	ED3040
BGI1	RET7	JU774
BGI1	RET7	JU323
BGI1	RET7	ED3077
BGI1	RET7	PS2025
BGI1	RET7	MY18
BGI1	RET7	JU367
BGI1	RET7	CB4932
BGI1	RET7	JU1530
BGI1	RET7	QX1216
BGI1	RET7	JU561
BGI1	RET7	QG537
BGI1	RET7	JU1652
BGI1	RET7	WN2020
BGI1	RET7	WN2010
BGI1	RET7	WN2013
BGI1	RET7	WN2019
BGI1	RET7	WN2016
BGI2	RET1	AF16
BGI2	RET1	CB4852
BGI2	RET1	CB4856_CGC
BGI2	RET1	CB4857_CGC
BGI2	RET1	CX11315
BGI2	RET1	DL238
BGI2	RET1	ED3049
BGI2	RET1	HK104
BGI2	RET1	JU1580
BGI2	RET1	JU258
BGI2	RET1	JU360
BGI2	RET1	JU778
BGI2	RET1	MY23
BGI2	RET1	N2_CGC
BGI2	RET1	NIC232
BGI2	RET1	QG557
BGI2	RET1	QX1430
BGI2	RET1	WN2021
BGI2	RET2	AB1
BGI2	RET2	AB4
BGI2	RET2	CX11276
BGI2	RET2	CX11285
BGI2	RET2	DL226
BGI2	RET2	ED3017
BGI2	RET2	ED3046
BGI2	RET2	EG4725
BGI2	RET2	JT11398
BGI2	RET2	JU1200
BGI2	RET2	JU346
BGI2	RET2	JU363
BGI2	RET2	JU775
BGI2	RET2	JU782
BGI2	RET2	MY1
BGI2	RET2	MY16
BGI2	RET2	NIC196
BGI2	RET2	NIC2
BGI2	RET2	PB306
BGI2	RET2	QG556
BGI2	RET2	QX1791
BGI2	RET2	QX1792
BGI2	RET2	QX1793
BGI2	RET2	QX1794
BGI2	RET3	CB4851_CGC
BGI2	RET3	CB4853_UK
BGI2	RET3	CB4858_UK
BGI2	RET3	CX11254
BGI2	RET3	CX11314
BGI2	RET3	ED3011
BGI2	RET3	EG4347
BGI2	RET3	JU1088
BGI2	RET3	JU1246
BGI2	RET3	JU1491
BGI2	RET3	JU1586
BGI2	RET3	JU2007
BGI2	RET3	JU315
BGI2	RET3	JU440
BGI2	RET3	JU830
BGI2	RET3	LKC34
BGI2	RET3	MY10
BGI2	RET3	NIC1
BGI2	RET3	NIC197
BGI2	RET3	NIC207
BGI2	RET3	NIC3
BGI2	RET3	QX1211
BGI2	RET3	QX1215
BGI2	RET3	QX2268
BGI2	RET4	CB4852
BGI2	RET4	CB4855_UK
BGI2	RET4	CB4858_CGC
BGI2	RET4	CX11292
BGI2	RET4	ED3048
BGI2	RET4	JU1172
BGI2	RET4	JU1242
BGI2	RET4	JU1516
BGI2	RET4	JU310
BGI2	RET4	JU394
BGI2	RET4	JU642
BGI2	RET4	QX1233
BGI2	RET4	QX2267
BGI2	RET4	WN2014
BGI2	RET5	CB4851_UK
BGI2	RET5	CX11264
BGI2	RET5	CX11307
BGI2	RET5	ED3005
BGI2	RET5	EG4724
BGI2	RET5	JU1213
BGI2	RET5	JU1409
BGI2	RET5	JU1568
BGI2	RET5	JU311
BGI2	RET5	JU751
BGI2	RET5	NIC166
BGI2	RET5	NIC195
BGI2	RET5	NIC237
BGI2	RET5	QX1213
BGI2	RET5	RC301
BGI2	RET5	WN2002
BGI2	RET4	NIC4
BGI2	RET4	NIC198
BGI2	RET4	NIC231
BGI2	RET4	QG557
BGI2	RET4	DL200
BGI2	RET4	JU1896
BGI2	RET4	LSJ1
BGI2	RET4	ED3073
BGI2	RET4	JU1400
BGI2	RET4	QX1212
BGI2	RET5	JU397
BGI2	RET5	QX2265
BGI2	RET5	ED3052
BGI2	RET5	WN2018
BGI2	RET5	KR314
BGI2	RET5	WN2011
BGI2	RET5	QG536
BGI2	RET5	CB4855_CGC
BGI2	RET6	NIC199
BGI2	RET6	NIC236
BGI2	RET6	JU1212
BGI2	RET6	JU1395
BGI2	RET6	JU1440
BGI2	RET6	JU792
BGI2	RET6	ED3012
BGI2	RET6	CB4853_CGC
BGI2	RET6	CX11262
BGI2	RET6	PX179
BGI2	RET6	QX1214
BGI2	RET6	EG4349
BGI2	RET6	WN2001
BGI2	RET6	GXW1
BGI2	RET6	JU406
BGI2	RET6	QX2266
BGI2	RET6	PB303
BGI2	RET6	JU2001
BGI2	RET6	QG538
BGI2	RET6	N2_HRH
BGI2	RET6	JU1581
BGI2	RET6	JU393
BGI2	RET6	CB4857_UK
BGI2	RET6	WN2017
BGI2	RET7	NIC200
BGI2	RET7	QG558
BGI2	RET7	CX11271
BGI2	RET7	EG4946
BGI2	RET7	JU847
BGI2	RET7	CB4854
BGI2	RET7	ED3040
BGI2	RET7	JU774
BGI2	RET7	JU323
BGI2	RET7	ED3077
BGI2	RET7	PS2025
BGI2	RET7	MY18
BGI2	RET7	JU367
BGI2	RET7	CB4932
BGI2	RET7	JU1530
BGI2	RET7	QX1216
BGI2	RET7	JU561
BGI2	RET7	QG537
BGI2	RET7	JU1652
BGI2	RET7	WN2020
BGI2	RET7	WN2010
BGI2	RET7	WN2013
BGI2	RET7	WN2019
BGI2	RET7	WN2016
BGI3	RET1a	AF16
BGI3	RET1a	CB4856_CGC
BGI3	RET1a	DL238
BGI3	RET1a	HK104
BGI3	RET1a	JU258
BGI3	RET1a	MY23
BGI3	RET1a	N2_CGC
BGI3	RET1a	QX1430
BGI3	RET1b	CB4852
BGI3	RET1b	CB4857_CGC
BGI3	RET1b	CX11315
BGI3	RET1b	ED3049
BGI3	RET1b	JU1580
BGI3	RET1b	JU360
BGI3	RET1b	JU778
BGI3	RET1b	NIC232
BGI3	RET1b	QG557
BGI3	RET1b	WN2021
BGI3	RET2a	AB4
BGI3	RET2a	CX11285
BGI3	RET2a	ED3017
BGI3	RET2a	EG4725
BGI3	RET2a	JT11398
BGI3	RET2a	JU1200
BGI3	RET2a	JU775
BGI3	RET2a	JU782
BGI3	RET2a	MY16
BGI3	RET2a	NIC2
BGI3	RET2a	PB306
BGI3	RET2a	QG556
BGI3	RET2b	AB1
BGI3	RET2b	CX11276
BGI3	RET2b	DL226
BGI3	RET2b	ED3046
BGI3	RET2b	JU346
BGI3	RET2b	JU363
BGI3	RET2b	MY1
BGI3	RET2b	NIC196
BGI3	RET2b	QX1791
BGI3	RET2b	QX1792
BGI3	RET2b	QX1793
BGI3	RET2b	QX1794
BGI3	RET3a	CB4853_UK
BGI3	RET3a	ED3011
BGI3	RET3a	EG4347
BGI3	RET3a	JU1491
BGI3	RET3a	JU1586
BGI3	RET3a	JU830
BGI3	RET3a	LKC34
BGI3	RET3a	NIC1
BGI3	RET3a	NIC197
BGI3	RET3a	NIC207
BGI3	RET3a	NIC3
BGI3	RET3a	QX1211
BGI3	RET3b	CB4851_CGC
BGI3	RET3b	CB4858_UK
BGI3	RET3b	CX11254
BGI3	RET3b	CX11314
BGI3	RET3b	JU1088
BGI3	RET3b	JU1246
BGI3	RET3b	JU2007
BGI3	RET3b	JU315
BGI3	RET3b	JU440
BGI3	RET3b	MY10
BGI3	RET3b	QX1215
BGI3	RET3b	QX2268
BGI3	RET4a	CB4852
BGI3	RET4a	DL200
BGI3	RET4a	ED3048
BGI3	RET4a	ED3073
BGI3	RET4a	JU1400
BGI3	RET4a	JU1896
BGI3	RET4a	LSJ1
BGI3	RET4a	NIC198
BGI3	RET4a	NIC231
BGI3	RET4a	NIC4
BGI3	RET4a	QG557
BGI3	RET4a	QX1212
BGI3	RET4b	CB4855_UK
BGI3	RET4b	CB4858_CGC
BGI3	RET4b	CX11292
BGI3	RET4b	JU1172
BGI3	RET4b	JU1242
BGI3	RET4b	JU1516
BGI3	RET4b	JU310
BGI3	RET4b	JU394
BGI3	RET4b	JU642
BGI3	RET4b	QX1233
BGI3	RET4b	QX2267
BGI3	RET4b	WN2014
BGI3	RET5a	CX11264
BGI3	RET5a	CX11307
BGI3	RET5a	ED3005
BGI3	RET5a	EG4724
BGI3	RET5a	JU1213
BGI3	RET5a	JU1409
BGI3	RET5a	JU1568
BGI3	RET5a	JU751
BGI3	RET5a	NIC166
BGI3	RET5a	NIC195
BGI3	RET5a	NIC237
BGI3	RET5a	RC301
BGI3	RET5b	CB4851_UK
BGI3	RET5b	CB4855_CGC
BGI3	RET5b	ED3052
BGI3	RET5b	JU311
BGI3	RET5b	JU397
BGI3	RET5b	KR314
BGI3	RET5b	QG536
BGI3	RET5b	QX1213
BGI3	RET5b	QX2265
BGI3	RET5b	WN2002
BGI3	RET5b	WN2011
BGI3	RET5b	WN2018
BGI3	RET6a	CB4853_CGC
BGI3	RET6a	CX11262
BGI3	RET6a	ED3012
BGI3	RET6a	EG4349
BGI3	RET6a	JU1212
BGI3	RET6a	JU1395
BGI3	RET6a	JU1440
BGI3	RET6a	JU792
BGI3	RET6a	NIC199
BGI3	RET6a	NIC236
BGI3	RET6a	PX179
BGI3	RET6a	QX1214
BGI3	RET6b	CB4857_UK
BGI3	RET6b	GXW1
BGI3	RET6b	JU1581
BGI3	RET6b	JU2001
BGI3	RET6b	JU393
BGI3	RET6b	JU406
BGI3	RET6b	N2_HRH
BGI3	RET6b	PB303
BGI3	RET6b	QG538
BGI3	RET6b	QX2266
BGI3	RET6b	WN2001
BGI3	RET6b	WN2017
BGI3	RET7a	CB4854
BGI3	RET7a	CX11271
BGI3	RET7a	ED3040
BGI3	RET7a	ED3077
BGI3	RET7a	EG4946
BGI3	RET7a	JU323
BGI3	RET7a	JU774
BGI3	RET7a	JU847
BGI3	RET7a	MY18
BGI3	RET7a	NIC200
BGI3	RET7a	PS2025
BGI3	RET7a	QG558
BGI3	RET7b	CB4932
BGI3	RET7b	JU1530
BGI3	RET7b	JU1652
BGI3	RET7b	JU367
BGI3	RET7b	JU561
BGI3	RET7b	QG537
BGI3	RET7b	QX1216
BGI3	RET7b	WN2010
BGI3	RET7b	WN2013
BGI3	RET7b	WN2016
BGI3	RET7b	WN2019
BGI3	RET7b	WN2020
Princeton	P	AF16
Princeton	P	CB4856_CGC
Princeton	P	DL238
Princeton	P	HK104
Princeton	P	JU258
Princeton	P	MY23
Princeton	P	N2_CGC
Princeton	P	QX1430
