Strain,,Library
AF16,1,RET1
CB4852,2,RET1
CB4856_CGC,1,RET1
CB4857_CGC,1,RET1
CX11315,1,RET1
DL238,1,RET1
ED3049,1,RET1
HK104,1,RET1
JU1580,1,RET1
JU258,1,RET1
JU360,1,RET1
JU778,1,RET1
MY23,1,RET1
N2_CGC,1,RET1
NIC232,1,RET1
QG557,2,RET1
QX1430,1,RET1
WN2021,1,RET1
AB1,1,RET2
AB4,1,RET2
CX11276,1,RET2
CX11285,1,RET2
DL226,1,RET2
ED3017,1,RET2
ED3046,1,RET2
EG4725,1,RET2
JT11398,1,RET2
JU1200,1,RET2
JU346,1,RET2
JU363,1,RET2
JU775,1,RET2
JU782,1,RET2
MY1,1,RET2
MY16,1,RET2
NIC196,1,RET2
NIC2,1,RET2
PB306,1,RET2
QG556,1,RET2
QX1791,1,RET2
QX1792,1,RET2
QX1793,1,RET2
QX1794,1,RET2
CB4851_CGC,1,RET3
CB4853_UK,1,RET3
CB4858_UK,1,RET3
CX11254,1,RET3
CX11314,1,RET3
ED3011,1,RET3
EG4347,1,RET3
JU1088,1,RET3
JU1246,1,RET3
JU1491,1,RET3
JU1586,1,RET3
JU2007,1,RET3
JU315,1,RET3
JU440,1,RET3
JU830,1,RET3
LKC34,1,RET3
MY10,1,RET3
NIC1,1,RET3
NIC197,1,RET3
NIC207,1,RET3
NIC3,1,RET3
QX1211,1,RET3
QX1215,1,RET3
QX2268,1,RET3
CB4852,2,RET4
CB4855_UK,1,RET4
CB4858_CGC,1,RET4
CX11292,1,RET4
DL200,1,RET4
ED3048,1,RET4
ED3073,1,RET4
JU1172,1,RET4
JU1242,1,RET4
JU1400,1,RET4
JU1516,1,RET4
JU1896,1,RET4
JU310,1,RET4
JU394,1,RET4
JU642,1,RET4
LSJ1,1,RET4
NIC198,1,RET4
NIC231,1,RET4
NIC4,1,RET4
QG557,2,RET4
QX1212,1,RET4
QX1233,1,RET4
QX2267,1,RET4
WN2014,1,RET4
CB4851_UK,1,RET5
CB4855_CGC,1,RET5
CX11264,1,RET5
CX11307,1,RET5
ED3005,1,RET5
ED3052,1,RET5
EG4724,1,RET5
JU1213,1,RET5
JU1409,1,RET5
JU1568,1,RET5
JU311,1,RET5
JU397,1,RET5
JU751,1,RET5
KR314,1,RET5
NIC166,1,RET5
NIC195,1,RET5
NIC237,1,RET5
QG536,1,RET5
QX1213,1,RET5
QX2265,1,RET5
RC301,1,RET5
WN2002,1,RET5
WN2011,1,RET5
WN2018,1,RET5
CB4853_CGC,1,RET6
CB4857_UK,1,RET6
CX11262,1,RET6
ED3012,1,RET6
EG4349,1,RET6
GXW1,1,RET6
JU1212,1,RET6
JU1395,1,RET6
JU1440,1,RET6
JU1581,1,RET6
JU2001,1,RET6
JU393,1,RET6
JU406,1,RET6
JU792,1,RET6
N2_HRH,1,RET6
NIC199,1,RET6
NIC236,1,RET6
PB303,1,RET6
PX179,1,RET6
QG538,1,RET6
QX1214,1,RET6
QX2266,1,RET6
WN2001,1,RET6
WN2017,1,RET6
CB4854,1,RET7
CB4932,1,RET7
CX11271,1,RET7
ED3040,1,RET7
ED3077,1,RET7
EG4946,1,RET7
JU1530,1,RET7
JU1652,1,RET7
JU323,1,RET7
JU367,1,RET7
JU561,1,RET7
JU774,1,RET7
JU847,1,RET7
MY18,1,RET7
NIC200,1,RET7
PS2025,1,RET7
QG537,1,RET7
QG558,1,RET7
QX1216,1,RET7
WN2010,1,RET7
WN2013,1,RET7
WN2016,1,RET7
WN2019,1,RET7
WN2020,1,RET7
CB4852,,RET4
CB4855_UK,,RET4
CB4858_CGC,,RET4
CX11292,,RET4
DL200,,RET4
ED3048,,RET4
ED3073,,RET4
JU1172,,RET4
JU1242,,RET4
JU1400,,RET4
JU1516,,RET4
JU1896,,RET4
JU310,,RET4
JU394,,RET4
JU642,,RET4
LSJ1,,RET4
NIC198,,RET4
