bam	avg_depth	base_coverage
BGI1-RET1-CB4857_CGC-f2e49-9b080.bam 1 180
BGI1-RET1-CB4856_CGC-1854b-12b2d.bam 6.09355 60620049
BGI1-RET1-JU258-31ebc-76968.bam 6.30319 63555380
BGI1-RET1-AF16-f1057-e1bb9.bam 11.8288 1086590849
BGI1-RET1-HK104-89d1c-85e53.bam 12.2161 1124426981
BGI1-RET1-DL238-47de1-6476c.bam 12.5317 1160825608
BGI1-RET1-WN2021-afccb-d659a.bam 1.02785 13694
BGI1-RET1-MY23-362e2-0c706.bam 12.7622 1220786092
BGI1-RET1-CX11315-010a1-79b54.bam 15.4604 1494470354
BGI1-RET1-JU360-88da4-8ce09.bam 16.3273 1590690695
BGI1-RET1-ED3049-e0754-e8394.bam 14.1478 1355356731
BGI1-RET1-N2_CGC-e439a-e3536.bam 13.0073 1223957409
BGI1-RET1-JU1580-e321c-d9aa4.bam 20.2812 1962904912
BGI1-RET1-CB4852-bb482-5af7b.bam 20.6211 2033228610
BGI1-RET1-JU778-2383d-3962c.bam 24.4566 2392693068
BGI1-RET1-NIC232-9940c-dec8d.bam 21.9979 2165640041
BGI1-RET1-QX1430-584e1-f7dab.bam 13.8004 1262835358
BGI1-RET1-QG557-60682-f8de5.bam 14.4468 1381119760
BGI1-RET2-EG4725-807d5-ac940.bam 5.61403 508351790
BGI1-RET2-AB4-5cbd4-90f54.bam 17.1682 1679645258
BGI1-RET2-CX11276-3e23b-9aa9b.bam 15.0613 1464051628
BGI1-RET2-ED3017-35456-05974.bam 10.643 1038662964
BGI1-RET2-AB1-6b0f1-10958.bam 19.6994 1944373794
BGI1-RET2-CX11285-086ba-ab7d7.bam 17.5764 1715578873
BGI1-RET2-JT11398-88471-6eec7.bam 10.0933 986839478
BGI1-RET2-ED3046-ccfc3-6ab1d.bam 17.1487 1667739016
BGI1-RET2-JU1200-ea738-c182e.bam 13.1132 1272904359
BGI1-RET2-DL226-7c621-e33fe.bam 27.2156 2679840292
BGI1-RET2-JU363-02f20-68625.bam 9.96601 936621837
BGI1-RET2-JU775-c807d-c6ffb.bam 12.6305 1210221331
BGI1-RET2-JU346-aa526-663f6.bam 14.7634 1440869421
BGI1-RET2-JU782-e215d-2f0f0.bam 10.9281 1044860295
BGI1-RET2-MY16-42063-32ca7.bam 13.9328 1340915837
BGI1-RET2-PB306-a7af9-cc16b.bam 11.6341 1109749031
BGI1-RET2-MY1-0547b-2c69a.bam 15.0833 1454555372
BGI1-RET2-NIC2-6bd23-408ff.bam 10.7303 1037483023
BGI1-RET2-NIC196-e6165-0e453.bam 13.6462 1303807044
BGI1-RET2-QG556-ac460-f1a0d.bam 12.8407 1230308796
BGI1-RET2-QX1792-f9a0a-0bc9d.bam 11.33 1078018909
BGI1-RET2-QX1793-12597-ae8cd.bam 13.6898 1332802854
BGI1-RET3-CB4853_UK-e3fe7-78f7f.bam 10.6461 1037691685
BGI1-RET2-QX1791-751b6-6cb55.bam 19.7199 1916553019
BGI1-RET3-CB4851_CGC-fd9a9-7c70a.bam 18.1906 1776023850
BGI1-RET3-ED3011-beb5f-ffe32.bam 13.6205 1300494307
BGI1-RET3-CX11254-74850-f11b4.bam 14.4539 1402805579
BGI1-RET3-CB4858_UK-042b9-e6e29.bam 15.1166 1472436365
BGI1-RET3-CX11314-5b78c-fb447.bam 16.1169 1576995285
BGI1-RET3-EG4347-d63f6-13264.bam 13.5024 1298946990
BGI1-RET2-QX1794-514d6-2d62a.bam 24.0958 2353017985
BGI1-RET3-JU1088-d7571-01543.bam 14.3164 1373442565
BGI1-RET3-JU1491-fe95c-b9840.bam 13.0022 1262766673
BGI1-RET3-JU1246-57942-8a0ed.bam 16.5581 1605014794
BGI1-RET3-JU2007-67c15-3fe6d.bam 12.6979 1245077498
BGI1-RET3-JU1586-3faca-54b2d.bam 13.9527 1351614345
BGI1-RET3-JU440-03c3b-8f888.bam 12.3121 1212123480
BGI1-RET3-NIC197-52a6a-74b2b.bam 11.0689 1033232109
BGI1-RET3-MY10-2a480-da192.bam 11.6501 1130686512
BGI1-RET3-LKC34-767c0-cf838.bam 13.7333 1316157661
BGI1-RET3-NIC1-b3ac6-18fb5.bam 10.8142 1025997814
BGI1-RET3-NIC207-e8853-a51de.bam 12.0677 1177504539
BGI1-RET3-JU830-5c1f6-8a7ae.bam 16.7984 1622299845
BGI1-RET3-JU315-ad011-760ce.bam 18.206 1796484940
BGI1-RET3-NIC3-27571-fc5e3.bam 7.83018 727533838
BGI1-RET3-QX1211-46d92-e4494.bam 16.3401 1558594076
BGI1-RET3-QX1215-76ec2-6546f.bam 14.4552 1379329695
BGI1-RET3-QX2268-13598-0ffb6.bam 14.0281 1358255458
BGI1-RET4-DL200-d5bfa-c4484.bam 7.71839 745045942
BGI1-RET4-CB4855_UK-ae918-77764.bam 11.8873 1148079667
BGI1-RET4-CB4858_CGC-e528f-d441d.bam 13.3715 1297565140
BGI1-RET4-CX11292-798e1-12106.bam 13.3543 1301674723
BGI1-RET4-ED3048-a2c22-277cc.bam 13.6195 1328592924
BGI1-RET4-JU1172-29e80-7118b.bam 12.8738 1265247375
BGI1-RET4-ED3073-736a0-8242e.bam 14.8894 1449056384
BGI1-RET4-JU1516-a6390-e76ce.bam 8.45739 826785481
BGI1-RET4-QG557-f2e82-49b2b.bam 1.08938 145307
BGI1-RET4-JU1242-64fed-15575.bam 17.8793 1757468355
BGI1-RET4-JU1896-2a369-f8d12.bam 12.313 1197517086
BGI1-RET4-JU394-5e0da-b39b6.bam 8.58838 805451652
BGI1-RET4-NIC198-e8039-e9ebf.bam 8.40375 771783942
BGI1-RET4-JU1400-1d78f-b52e7.bam 16.3112 1587863756
BGI1-RET4-NIC4-3a757-5526e.bam 5.12601 456065762
BGI1-RET4-LSJ1-db2c1-8d079.bam 12.699 1232616190
BGI1-RET4-NIC231-c0acc-cde94.bam 11.4455 1106761699
BGI1-RET4-JU310-72244-3dd87.bam 17.4787 1714557837
BGI1-RET4-JU642-a66e8-c60a7.bam 16.0986 1576653020
BGI1-RET4-QX1212-d6c66-2eaf7.bam 11.7492 1141713057
BGI1-RET4-CB4852-54681-ed3a7.bam 48.3752 4818018315
BGI1-RET4-WN2014-c5e1c-1cda5.bam 11.6593 1118971489
BGI1-RET4-QX1233-09dac-4ef04.bam 16.9175 1653729357
BGI1-RET5-CB4855_CGC-44ab6-37c7a.bam 11.6712 1122582259
BGI1-RET5-CB4851_UK-d448e-6d03a.bam 13.1737 1295510430
BGI1-RET4-QX2267-36e8c-22314.bam 17.9585 1747800090
BGI1-RET5-CX11264-849e5-0338e.bam 16.9982 1641629406
BGI1-RET5-ED3052-5c761-0de79.bam 14.8448 1468432863
BGI1-RET5-EG4724-eb5fa-5571c.bam 11.4996 1098123469
BGI1-RET5-JU1213-e18f0-4e5b9.bam 10.3939 996611634
BGI1-RET5-ED3005-50f94-13492.bam 18.7178 1828863271
BGI1-RET5-CX11307-3332b-a96ea.bam 20.6551 2028346695
BGI1-RET5-JU1409-a1c62-dac07.bam 15.693 1533459238
BGI1-RET5-JU311-608a6-29366.bam 13.0727 1280382201
BGI1-RET5-NIC166-bc8ab-11d6b.bam 11.7562 1111226224
BGI1-RET5-JU1568-fb16f-2ba48.bam 18.9447 1867984262
BGI1-RET5-JU397-0bb39-54a80.bam 18.0572 1769938322
BGI1-RET5-KR314-28089-3c17d.bam 16.8123 1633808415
BGI1-RET5-JU751-7a38c-ccc6c.bam 17.1221 1675172866
BGI1-RET5-NIC195-53e2c-6241a.bam 14.4532 1370859930
BGI1-RET5-NIC237-d9e7d-a8b8c.bam 14.0072 1335338904
BGI1-RET5-QG536-c906a-668bf.bam 10.9603 1064721519
BGI1-RET5-QX2265-8f72f-c09c7.bam 15.5906 1517616457
BGI1-RET5-QX1213-fee6f-ad681.bam 16.0701 1558862125
BGI1-RET5-RC301-10358-c2f1c.bam 9.37877 897585862
BGI1-RET6-CB4853_CGC-81d2c-bb3ea.bam 4.16048 370427966
BGI1-RET6-CX11262-da04b-a823b.bam 4.08741 369614281
BGI1-RET6-ED3012-7c57a-8c969.bam 3.15371 250051536
BGI1-RET6-CB4857_UK-06240-0df87.bam 4.76396 418903966
BGI1-RET6-EG4349-3309e-dffc2.bam 3.54529 309023415
BGI1-RET5-WN2002-cdfa3-90f5f.bam 14.3673 1405369326
BGI1-RET6-GXW1-5c89a-a47bd.bam 4.85204 447267724
BGI1-RET6-JU1395-f1d88-1f256.bam 2.16312 153120071
BGI1-RET5-WN2018-1bd9d-5fe91.bam 12.4172 1181269898
BGI1-RET6-JU1440-0fd92-9a1a6.bam 2.37994 169323479
BGI1-RET6-JU1212-089fe-0e27e.bam 4.76406 412731785
BGI1-RET5-WN2011-635b5-2ce89.bam 14.049 1342414688
BGI1-RET6-JU1581-12849-0cde1.bam 4.66253 410353518
BGI1-RET6-JU2001-8a433-6fc97.bam 3.99836 338185599
BGI1-RET6-JU792-3308d-c17fd.bam 3.61132 298110758
BGI1-RET6-JU393-c023d-53565.bam 4.96029 449219113
BGI1-RET6-JU406-6ea23-a7b16.bam 3.93633 347717116
BGI1-RET6-N2_HRH-664e9-422d8.bam 3.54842 300796408
BGI1-RET6-NIC199-376c7-3bdee.bam 4.02228 345754496
BGI1-RET6-NIC236-168a2-9ec21.bam 3.12896 243308832
BGI1-RET6-PX179-8248e-f3ad9.bam 3.35447 279172041
BGI1-RET6-PB303-27ab4-11376.bam 4.65452 422071042
BGI1-RET6-QX1214-ceb94-cb50e.bam 2.95007 245759835
BGI1-RET6-QG538-34329-97844.bam 4.33861 371337979
BGI1-RET6-QX2266-6bacd-d419f.bam 4.12654 374783143
