bam	avg_depth	base_coverage
BGI1-RET6-WN2001-5889d-05462.bam 4.70456 420305279
BGI1-RET6-WN2017-ce5fb-40da6.bam 7.15887 664017298
BGI1-RET7-CB4854-cc1ab-9f1f9.bam 13.8637 1349882932
BGI1-RET7-CB4932-f9c17-1f7e8.bam 15.7555 1544292454
BGI1-RET7-CX11271-adc81-3e579.bam 13.1699 1299896165
BGI1-RET7-JU1530-42dfa-4be8c.bam 10.1295 974968021
BGI1-RET7-EG4946-2287d-85c1a.bam 11.4194 1100935270
BGI1-RET7-JU1652-9c6f7-8f8fe.bam 10.5873 1008207241
BGI1-RET7-ED3077-876f0-79af4.bam 16.7951 1652780677
BGI1-RET7-ED3040-7228f-1d1fa.bam 17.1298 1682968809
BGI1-RET7-JU323-1bd2f-a2b54.bam 17.3848 1711724212
BGI1-RET7-JU561-19dca-6d777.bam 12.9925 1276773012
BGI1-RET7-JU367-6fbb1-4600e.bam 17.6006 1749229296
BGI1-RET7-JU774-83ec4-27e30.bam 15.3772 1493342331
BGI1-RET7-JU847-1b333-05aee.bam 11.2235 1074377021
BGI1-RET7-QG558-27428-111f7.bam 11.0294 1045903867
BGI1-RET7-NIC200-8fdb8-58027.bam 14.0436 1355134769
BGI1-RET7-PS2025-8f1f5-0416c.bam 14.5311 1421829047
BGI1-RET7-QG537-781cc-ace80.bam 16.5026 1617216622
BGI1-RET7-MY18-d5c1e-24349.bam 17.7591 1728905132
BGI1-RET7-WN2010-275d3-71f3b.bam 13.7411 1315139850
BGI1-RET7-QX1216-0372c-034e3.bam 16.5997 1580102050
BGI1-RET7-WN2019-6f07d-231bf.bam 15.4049 1494225565
BGI1-RET7-WN2013-9efe5-affcb.bam 17.7998 1717586769
BGI1-RET7-WN2016-47efd-e4c31.bam 17.8368 1737416916
BGI1-RET7-WN2020-213a8-5a721.bam 13.9113 1337354860
BGI2-RET4-DL200-260e4-cb69b.bam 7.15964 689080896
BGI2-RET4-CB4855_UK-fcb7b-6c508.bam 10.6198 1021511541
BGI2-RET4-CB4858_CGC-19fc3-64f32.bam 11.9552 1156652325
BGI2-RET4-CX11292-fd3f2-92837.bam 12.4703 1213594224
BGI2-RET4-ED3048-0d6ac-0bcc2.bam 12.24 1190583104
BGI2-RET4-ED3073-8e0b3-026cc.bam 13.1454 1275384166
BGI2-RET4-DL200-adefe-bbde7.bam 20.2524 1996109683
BGI2-RET4-JU1172-28538-00cb8.bam 10.872 1066203634
BGI2-RET4-JU1516-e31b9-df68c.bam 7.51327 731533893
BGI2-RET4-JU1400-16dc8-0ce0a.bam 14.5333 1411006499
BGI2-RET4-JU1242-ce642-091bb.bam 15.8809 1558412133
BGI2-RET4-ED3073-c8000-fc5ea.bam 22.7557 2223106654
BGI2-RET4-JU1896-09af8-2878a.bam 11.0928 1076047157
BGI2-RET4-JU1400-7def4-84c24.bam 14.575 1416481066
BGI2-RET4-JU1896-1a688-1cb7f.bam 13.2954 1270652913
BGI2-RET4-JU394-17512-a6a9c.bam 7.89137 735045307
BGI2-RET4-QG557-030e5-62a7d.bam 1.10603 272922
BGI2-RET4-QG557-faed8-11122.bam 1.23425 1533756
BGI2-RET4-CB4852-06dae-7ddab.bam 44.7986 4460415232
BGI2-RET4-QX1212-11d58-2bc7c.bam 1.65368 224771
BGI2-RET4-JU310-d0ce3-5bcda.bam 14.4963 1417727712
BGI2-RET4-LSJ1-cf659-88612.bam 11.75 1137209261
BGI2-RET4-NIC4-8cb1e-7dc3a.bam 4.76485 419319798
BGI2-RET4-NIC198-4c152-9997a.bam 7.64649 697793871
BGI2-RET4-JU642-c6556-fd848.bam 14.6375 1430857740
BGI2-RET4-NIC198-efd4e-d2f85.bam 13.2053 1257018261
BGI2-RET4-NIC231-2bef9-1f422.bam 9.93703 956141181
BGI2-RET4-NIC231-b3a66-9988e.bam 13.4249 1291863824
BGI2-RET4-LSJ1-f4eda-6c206.bam 20.4758 1981661469
BGI2-RET4-QX1212-02c7f-47369.bam 9.63981 930680773
BGI2-RET5-ED3052-2a451-1683b.bam 6.30953 61708182
BGI2-RET4-QX1233-0a4c5-5c5e4.bam 15.5584 1517802052
BGI2-RET4-NIC4-950e7-6b4d8.bam 19.305 1896784598
BGI2-RET4-WN2014-0af6d-92d93.bam 10.6826 1022876818
BGI2-RET5-CB4855_CGC-8f4c7-7d077.bam 10.4064 996466514
BGI2-RET5-CB4851_UK-003bb-02d77.bam 11.8708 1163539968
BGI2-RET4-QX2267-e6ab0-b8354.bam 16.0949 1564409361
BGI2-RET5-CB4855_CGC-ad001-15e26.bam 13.3945 1222003618
BGI2-RET5-CX11264-eb3c4-d3b1a.bam 14.2198 1365890000
BGI2-RET5-ED3052-d798f-5010e.bam 12.9359 1278204705
BGI2-RET5-CX11307-b1157-b2cd8.bam 18.1205 1776215217
BGI2-RET5-EG4724-840eb-866cb.bam 9.44211 891872898
BGI2-RET5-ED3005-e703b-dc5c1.bam 16.6447 1623687658
BGI2-RET5-JU1213-b8946-9b0e8.bam 9.22491 880223667
BGI2-RET5-JU1409-86164-79485.bam 13.2509 1289280768
BGI2-RET5-JU311-2dd2b-112f3.bam 11.5945 1132840768
BGI2-RET5-JU397-b706f-3902e.bam 12.6448 1209044993
BGI2-RET5-JU1568-372c6-2acd3.bam 16.7915 1652074452
BGI2-RET5-JU397-0813b-59f4e.bam 16.1844 1582849419
BGI2-RET5-JU751-09bc2-6b035.bam 14.87 1451903637
BGI2-RET5-KR314-26761-5011d.bam 11.8584 1108188789
BGI2-RET5-NIC166-80627-4968f.bam 10.5218 988313204
BGI2-RET5-QG536-28206-80e61.bam 10.0131 969980858
BGI2-RET5-KR314-9966f-a9768.bam 14.8169 1435527297
BGI2-RET5-NIC195-ed2c8-70924.bam 12.6131 1189901349
BGI2-RET5-NIC237-dd89b-91c04.bam 12.1224 1148249748
BGI2-RET5-QG536-8b495-58b92.bam 12.2096 1123589045
BGI2-RET5-WN2018-cd624-fe798.bam 5.75633 50471832
BGI2-RET5-QX2265-49df5-dd889.bam 10.5708 967846352
BGI2-RET5-QX1213-2da68-b1caa.bam 13.8328 1336501750
BGI2-RET5-RC301-9891d-a9d60.bam 8.17718 777071097
BGI2-RET5-QX2265-a646e-b1bde.bam 13.6537 1326556841
BGI2-RET5-WN2002-2f5a8-052ee.bam 12.6021 1229386890
BGI2-RET5-WN2011-ec1ff-55282.bam 10.907 996275428
BGI2-RET5-WN2011-b2e2b-3fbbb.bam 12.5452 1194106972
BGI2-RET5-WN2018-708ca-9f975.bam 10.6426 1004779040
BGI2-RET6-CB4853_CGC-07975-562f7.bam 12.4637 1212108559
BGI2-RET6-CB4853_CGC-7dd30-694f3.bam 10.0814 985780595
BGI2-RET6-CB4857_UK-c4713-76ba7.bam 11.5823 1106737005
BGI2-RET6-CB4857_UK-20590-d164c.bam 12.5366 1218117657
BGI2-RET6-CX11262-74b0e-68282.bam 9.85595 959674480
BGI2-RET6-CX11262-e1018-2d51a.bam 11.9449 1167713174
BGI2-RET6-ED3012-cc384-0c7fa.bam 9.09966 868929904
BGI2-RET6-GXW1-86159-f1d13.bam 9.29205 868863580
BGI2-RET6-ED3012-ca6dc-ba0be.bam 16.4487 1603817403
BGI2-RET6-EG4349-56d34-84036.bam 10.5057 1015275747
BGI2-RET6-EG4349-a3057-f2ac4.bam 11.2616 1099275768
BGI2-RET6-GXW1-ec84a-74660.bam 12.9844 1270960853
BGI2-RET6-JU1440-4cca7-59f05.bam 5.39527 486729232
BGI2-RET6-JU1395-93f11-59fce.bam 6.52806 630687061
BGI2-RET6-JU1212-bb051-0a815.bam 11.2129 1060001861
BGI2-RET6-JU1395-75ca2-16806.bam 10.4164 994252750
BGI2-RET6-JU1440-5d93d-5c8f9.bam 5.40876 509255906
BGI2-RET6-JU1212-f631c-2886c.bam 16.4208 1606049216
BGI2-RET6-JU2001-db956-4fe6b.bam 10.8603 1032304237
BGI2-RET6-JU1581-ac5ad-fe817.bam 12.4446 1197032723
BGI2-RET6-JU393-28e93-7fe93.bam 14.1941 1378056963
BGI2-RET6-JU2001-f743a-21017.bam 14.5425 1401102379
BGI2-RET6-JU792-018f0-03466.bam 9.20985 875070926
BGI2-RET6-JU406-cadcc-f06fa.bam 9.80144 957434872
BGI2-RET6-JU393-6e0ac-0ec4b.bam 13.626 1327235009
BGI2-RET6-JU1581-f0534-c4591.bam 18.8842 1863055494
BGI2-RET6-N2_HRH-00ce9-e5178.bam 9.6199 932208905
BGI2-RET6-JU792-1d744-be9ca.bam 11.2616 1072835165
BGI2-RET6-JU406-fd9ab-a618f.bam 19.1823 1863772067
BGI2-RET6-NIC199-01dcc-46a4f.bam 10.9235 1042373210
BGI2-RET6-N2_HRH-81729-f12dc.bam 16.2321 1577620400
BGI2-RET6-NIC236-f7530-e1f7c.bam 8.30238 777684396
BGI2-RET6-NIC199-ce53f-c2327.bam 12.1738 1165359146
BGI2-RET6-NIC236-4a6aa-fa765.bam 13.4298 1291972899
BGI2-RET6-PX179-c6a56-34fbd.bam 9.00083 869628890
BGI2-RET6-PB303-56f7f-8fbc5.bam 12.9782 1267012540
BGI2-RET6-PX179-8f2b5-8d65d.bam 12.742 1235543146
BGI2-RET6-QG538-3ede0-73c0e.bam 11.2684 1071228186
BGI2-RET6-PB303-8430e-2f9af.bam 14.3095 1395430479
BGI2-RET6-QX1214-22f8c-b232d.bam 9.08516 884227806
BGI2-RET6-QX1214-df979-89581.bam 12.4527 1192388866
BGI2-RET6-QX2266-44e6a-a9996.bam 11.1118 1057192414
BGI2-RET6-WN2001-64b4f-db5fa.bam 11.6509 1126318664
BGI2-RET6-QX2266-32f51-c5b15.bam 13.3952 1306393358
BGI2-RET6-QG538-fe9d6-f448e.bam 25.2272 2483096065
BGI2-RET6-WN2001-d5a50-fd719.bam 13.1574 1255421905
BGI2-RET7-CB4854-12a4d-6eee2.bam 10.862 1047122554
BGI2-RET6-WN2017-c9ab3-dab21.bam 16.6294 1605087646
BGI2-RET7-CB4854-f296f-0c00c.bam 14.5975 1407486850
BGI2-RET7-CB4932-282c1-2a241.bam 14.2329 1391331338
BGI2-RET7-CB4932-ab7b6-f0ae0.bam 15.006 1474878688
BGI2-RET6-WN2017-8cf03-fb84f.bam 23.2662 2271367515
BGI2-RET7-CX11271-85b6e-19931.bam 11.6528 1147580438
BGI2-RET7-CX11271-ea105-aaba7.bam 12.7931 1203822224
BGI2-RET7-ED3040-befbe-f4344.bam 15.1752 1459049343
BGI2-RET7-ED3040-3cf80-63796.bam 15.3863 1509201136
BGI2-RET7-EG4946-8a736-9086a.bam 10.1314 971867514
BGI2-RET7-ED3077-23e7e-6bbf8.bam 15.1182 1485909353
BGI2-RET7-ED3077-6b8eb-81123.bam 15.2217 1478609982
BGI2-RET7-JU1530-b1b6e-a04f3.bam 9.04984 865540651
BGI2-RET7-EG4946-8e84c-41ec8.bam 13.1478 1286059545
BGI2-RET7-JU1652-d79c3-dca86.bam 9.34986 883943360
BGI2-RET7-JU1530-1ee71-0184e.bam 16.4425 1572868740
BGI2-RET7-JU1652-f0142-ef2d3.bam 16.4126 1590508054
BGI2-RET7-JU323-abd9e-16117.bam 15.5562 1529249937
BGI2-RET7-JU323-a55cf-c38b4.bam 19.2679 1866935235
BGI2-RET7-JU561-3d64f-9829b.bam 11.963 1173664142
BGI2-RET7-JU367-e8ee7-f5e14.bam 15.7646 1565012928
BGI2-RET7-JU561-5b046-b0891.bam 13.7558 1357095257
BGI2-RET7-JU367-f5ba5-15736.bam 18.0028 1764169081
BGI2-RET7-JU774-279db-2c391.bam 13.7054 1326733387
BGI2-RET7-JU847-17383-782e6.bam 10.2415 975744334
BGI2-RET7-JU847-dd384-6ac4b.bam 15.3574 1473460968
BGI2-RET7-JU774-fd63a-b0dc3.bam 19.4289 1860005629
BGI2-RET7-MY18-68b79-e17a0.bam 12.6273 1235229944
BGI2-RET7-MY18-a1838-57a7d.bam 15.8068 1534440239
BGI2-RET7-NIC200-20eef-d9d77.bam 12.1594 1168434078
BGI2-RET7-PS2025-3c084-9b9b4.bam 12.2518 1196263943
BGI2-RET7-QG558-3c78d-4f9f2.bam 9.4488 886845636
BGI2-RET7-NIC200-6d5d4-e9710.bam 11.8016 1124539430
BGI2-RET7-PS2025-8cd2f-e5ad6.bam 14.8851 1450667563
BGI2-RET7-QG558-b3bf8-e7ff4.bam 8.70306 815261484
BGI2-RET7-QG537-79169-57dc8.bam 15.187 1486092404
BGI2-RET7-QG537-b6201-f2e46.bam 16.3384 1586984706
BGI2-RET7-QX1216-b9905-bf1aa.bam 15.061 1431017568
BGI2-RET7-WN2010-3cebe-b8df7.bam 12.3204 1173990483
BGI2-RET7-QX1216-d1fce-3e51a.bam 20.4879 2023897180
BGI2-RET7-WN2010-80d23-67c03.bam 16.8918 1645361148
BGI2-RET7-WN2016-db3d1-4324a.bam 13.005 1265357017
BGI2-RET7-WN2013-1c163-cb938.bam 13.9253 1332027749
BGI2-RET7-WN2019-6227f-9ce27.bam 13.6778 1323063539
BGI2-RET7-WN2019-516ce-1621c.bam 17.1923 1681469437
BGI2-RET7-WN2016-e5ef6-58dad.bam 15.7574 1532276879
BGI2-RET7-WN2020-7a842-c4558.bam 16.4137 1582624538
BGI2-RET7-WN2013-1409a-536d8.bam 19.8947 1944683886
BGI3-RET1a-AF16-2ea4c-af6fc.bam 11.6611 190896177
BGI2-RET7-WN2020-d5682-804e3.bam 12.0008 1147659981
BGI3-RET1a-HK104-48b14-ff101.bam 11.5297 179236844
BGI3-RET1a-CB4856_CGC-a40e8-1790b.bam 36.8604 3581273025
BGI3-RET1a-N2_CGC-31ee6-94948.bam 15.9727 1565215757
BGI3-RET1a-DL238-d40d2-9916b.bam 33.2481 3211616663
BGI3-RET1b-ED3049-ff88c-22f9b.bam 22.7132 2206072779
BGI3-RET1b-CX11315-8576a-d3164.bam 23.3986 2286146926
BGI3-RET1b-CB4857_CGC-a4bb4-a6475.bam 25.6027 2512215999
BGI3-RET1a-JU258-47483-76ed8.bam 44.0647 4283373630
BGI3-RET1a-MY23-d9d91-efaf8.bam 48.1677 4673697672
BGI3-RET1b-JU1580-b8789-f3e06.bam 37.1834 3640421036
BGI3-RET1b-CB4852-fa64b-c0a6c.bam 34.3828 3415053478
BGI3-RET1b-JU360-2b3d8-b44e4.bam 26.706 2624884777
BGI3-RET1b-QG557-32614-aebc0.bam 24.2942 2368109632
BGI3-RET1a-QX1430-4038a-0fa8d.bam 49.1414 4881482770
BGI3-RET2a-EG4725-13138-59e03.bam 8.64726 812873002
BGI3-RET1b-JU778-8dc6f-572f6.bam 42.9476 4238109527
BGI3-RET2a-ED3017-1f8fe-8472b.bam 17.1563 1694517311
BGI3-RET2a-JT11398-2bbfc-ee10e.bam 7.74796 751242674
BGI3-RET2a-AB4-82ab4-93c43.bam 26.5912 2616464838
BGI3-RET1b-NIC232-4185a-09903.bam 35.2274 3488432854
BGI3-RET1b-WN2021-10254-85017.bam 24.5942 2389600052
BGI3-RET2a-JU775-63048-ced96.bam 21.4662 2079819226
BGI3-RET2a-JU1200-c958c-c4db9.bam 22.5236 2213132448
BGI3-RET2a-JU782-fcd92-eea66.bam 17.9463 1737529825
BGI3-RET2a-MY16-8c14c-b2735.bam 23.4757 2282871754
BGI3-RET2a-PB306-b76b5-5832d.bam 18.6621 1805487551
BGI3-RET2a-QG556-4b314-253a2.bam 25.0945 2439781979
BGI3-RET2a-NIC2-f1aff-4ea87.bam 22.091 2177079464
BGI3-RET2a-CX11285-d3ebc-c25f3.bam 58.6141 5770411983
BGI3-RET2b-JU363-73ff3-0f109.bam 12.0741 1140455043
BGI3-RET2b-ED3046-42d2e-0c61d.bam 24.7094 2411401652
BGI3-RET2b-AB1-d1442-336eb.bam 32.8928 3257244891
BGI3-RET2b-CX11276-15bab-a2f87.bam 22.5232 2200652973
BGI3-RET2b-JU346-7380c-c362e.bam 21.6833 2128879102
BGI3-RET2b-DL226-85901-754ec.bam 29.8009 2934598574
BGI3-RET2b-QX1791-72609-1f453.bam 22.247 2161219078
BGI3-RET2b-MY1-2b685-29fb2.bam 22.8249 2215456119
BGI3-RET2b-NIC196-c6964-2684e.bam 23.7406 2290795238
BGI3-RET2b-QX1793-9a071-54aee.bam 16.2036 1580123221
BGI3-RET2b-QX1792-0a56b-187a9.bam 16.378 1571226872
BGI3-RET3a-CB4853_UK-8f0d4-f2761.bam 24.0936 2377871263
BGI3-RET3a-EG4347-99482-3640e.bam 22.2941 2182748029
BGI3-RET3a-ED3011-d4887-2eebd.bam 23.5903 2296585774
BGI3-RET3a-JU1491-a3fd3-f911c.bam 26.1997 2580048094
BGI3-RET2b-QX1794-3da33-3cba3.bam 30.4345 2974718309
BGI3-RET3a-JU1586-44ee8-ac9c5.bam 25.696 2532525616
BGI3-RET3a-NIC1-2bd5b-9720a.bam 17.9194 1739642817
BGI3-RET3a-LKC34-b62f9-1523d.bam 24.1661 2356983001
BGI3-RET3a-JU830-936f5-cc997.bam 29.2304 2856629677
BGI3-RET3a-NIC197-a1e78-01895.bam 19.3146 1852041981
BGI3-RET3a-NIC207-db7ce-830b9.bam 21.0695 2082314830
BGI3-RET3a-NIC3-421ea-a54b7.bam 14.8532 1434497947
BGI3-RET3b-CX11254-80cc2-f108f.bam 23.0214 2255828493
BGI3-RET3b-CB4851_CGC-88069-8b02a.bam 28.9929 2858540217
BGI3-RET4a-CB4852-1be68-a738d.bam 1.11545 73410
BGI3-RET3b-JU1088-4b749-e54af.bam 23.6761 2306431651
BGI3-RET3a-QX1211-ef2b9-e3140.bam 30.4188 2932101871
BGI3-RET3b-CB4858_UK-bc411-f6a7d.bam 25.5059 2519051737
BGI3-RET3b-CX11314-944ba-13feb.bam 27.5883 2716119670
BGI3-RET3b-JU2007-c6922-6da41.bam 23.8179 2352953527
BGI3-RET3b-JU1246-476f3-c05fc.bam 24.5538 2402971296
BGI3-RET3b-JU440-f3cd6-12fae.bam 22.516 2236104419
BGI3-RET3b-MY10-5549c-a13ae.bam 21.0026 2058466663
BGI3-RET3b-JU315-f34d6-b07d5.bam 30.9951 3070332639
